states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:97:C:x
1:     0:64:c:y
2:     0:60:a:x
3:     0:94:A:y
4:     0:11:b:x
5:     1:18:B:x
6:     1:26:a:x
7:     1:8:A:y
8:     1:31:C:y
9:     1:19:b:x
10:    2:41:b:y
11:    2:68:A:y
12:    2:51:C:x
13:    2:23:B:x
14:    2:13:a:x
15:    3:17:C:x
16:    3:12:B:y
17:    3:27:c:y
18:    3:4:A:y
19:    3:4:a:x
20:    4:62:C:y
21:    4:90:b:x
22:    4:6:c:x
23:    4:58:B:y
24:    4:77:A:x
25:    5:41:c:x
26:    5:96:C:x
27:    5:84:b:y
28:    5:7:B:y
29:    5:12:a:x
30:    6:85:A:y
31:    6:17:C:y
32:    6:84:c:x
33:    6:63:B:x
34:    6:90:b:x
35:    7:21:A:y
36:    7:36:C:x
37:    7:9:B:x
38:    7:78:a:y
39:    7:49:b:x
40:    8:11:a:x
41:    8:74:C:x
42:    8:55:b:y
43:    8:27:c:y
44:    8:84:A:y
45:    9:28:C:x
46:    9:33:a:x
47:    9:28:A:x
48:    9:74:c:x
49:    9:94:B:x
50:    10:53:a:x
51:    10:32:C:x
52:    10:54:A:y
53:    10:24:b:y
54:    10:80:B:y
55:    11:69:A:y
56:    11:81:B:y
57:    11:72:a:x
58:    11:42:C:y
59:    11:30:b:y
60:    12:79:B:x
61:    12:99:b:x
62:    12:10:c:y
63:    12:37:A:y
64:    12:46:C:x
65:    13:1:B:y
66:    13:75:C:x
67:    13:35:c:y
68:    13:9:A:x
69:    13:85:b:y
70:    14:91:A:y
71:    14:61:c:x
72:    14:9:b:x
73:    14:10:C:x
74:    14:15:a:x
75:    15:32:c:x
76:    15:71:b:x
77:    15:66:B:x
78:    15:46:A:x
79:    15:30:a:x
80:    16:57:b:y
81:    16:18:B:y
82:    16:97:C:y
83:    16:10:c:y
84:    16:55:a:x
85:    17:77:A:x
86:    17:60:a:y
87:    17:59:B:x
88:    17:30:c:y
89:    17:2:C:y
90:    18:96:b:x
91:    18:54:a:y
92:    18:62:B:y
93:    18:17:C:y
94:    18:14:c:x
95:    19:8:a:y
96:    19:51:b:x
97:    19:56:B:x
98:    19:80:C:x
99:    19:32:c:y
100:   20:2:c:x
101:   20:73:a:x
102:   20:25:b:y
