states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:82:a:y
1:     0:8:b:y
2:     0:12:c:y
3:     0:34:A:x
4:     0:2:B:x
5:     0:12:C:x
6:     1:98:a:y
7:     1:71:b:x
8:     1:0:c:x
9:     1:13:A:y
10:    1:77:B:x
11:    1:51:C:y
12:    2:65:a:x
13:    2:76:b:y
14:    2:1:c:x
15:    2:16:A:x
16:    2:38:B:x
17:    2:22:C:x
18:    3:51:a:y
19:    3:6:b:x
20:    3:89:c:y
21:    3:4:A:y
22:    3:72:B:y
23:    3:59:C:x
24:    4:88:a:y
25:    4:99:b:x
26:    4:89:c:y
27:    4:78:A:x
28:    4:68:B:y
29:    4:36:C:x
30:    5:68:a:y
31:    5:4:b:y
32:    5:91:c:y
33:    5:14:A:x
34:    5:95:B:y
35:    5:62:C:x
36:    6:94:a:y
37:    6:24:b:x
38:    6:97:c:x
39:    6:3:A:x
40:    6:12:B:y
41:    6:89:C:y
42:    7:3:a:y
43:    7:57:b:y
44:    7:76:c:y
45:    7:76:A:y
46:    7:45:B:y
47:    7:86:C:x
48:    8:42:a:y
49:    8:66:b:x
50:    8:56:c:x
51:    8:48:A:y
52:    8:49:B:x
53:    8:47:C:x
54:    9:27:a:x
55:    9:62:b:y
56:    9:11:c:x
57:    9:85:A:y
58:    9:98:B:y
59:    9:80:C:y
60:    10:48:a:y
61:    10:0:b:y
62:    10:40:c:x
63:    10:96:A:x
64:    10:65:B:y
65:    10:17:C:x
66:    11:69:a:x
67:    11:54:b:y
68:    11:35:c:x
69:    11:98:A:x
70:    11:51:B:y
71:    11:4:C:y
72:    12:34:a:x
73:    12:48:b:x
74:    12:52:c:y
75:    12:1:A:y
76:    12:25:B:y
77:    12:54:C:x
78:    13:5:a:y
79:    13:45:b:x
80:    13:42:c:x
81:    13:77:A:y
82:    13:53:B:x
83:    13:18:C:y
84:    14:94:a:y
85:    14:40:b:y
86:    14:82:c:y
87:    14:54:A:x
88:    14:84:B:y
89:    14:62:C:x
90:    15:45:a:y
91:    15:75:b:y
92:    15:53:c:y
93:    15:46:A:y
94:    15:8:B:y
95:    15:2:C:x
96:    16:34:a:x
97:    16:65:b:y
98:    16:30:c:y
99:    16:1:A:x
100:   16:93:B:y
101:   16:90:C:x
102:   17:83:a:x
103:   17:73:b:y
104:   17:55:c:x
105:   17:14:A:y
106:   17:72:B:y
107:   17:31:C:x
108:   18:75:a:x
109:   18:14:b:x
110:   18:46:c:y
111:   18:85:A:y
112:   18:50:B:x
113:   18:22:C:y
114:   19:60:a:y
115:   19:84:b:x
116:   19:20:c:x
117:   19:20:A:x
118:   19:32:B:x
119:   19:88:C:y
120:   20:50:a:y
121:   20:63:b:x
122:   20:68:c:x
123:   20:83:A:x
124:   20:69:B:y
125:   20:57:C:y
126:   21:82:a:y
127:   21:55:b:y
128:   21:7:c:y
129:   21:64:A:x
130:   21:38:B:y
131:   21:61:C:y
132:   22:52:a:y
133:   22:64:b:y
134:   22:24:c:x
135:   22:92:A:y
136:   22:77:B:x
137:   22:86:C:x
138:   23:95:a:y
139:   23:58:b:y
140:   23:43:c:y
141:   23:26:A:x
142:   23:72:B:x
143:   23:96:C:y
144:   24:18:a:y
145:   24:60:b:y
146:   24:84:c:y
147:   24:38:A:x
148:   24:81:B:y
149:   24:57:C:y
150:   25:21:a:y
151:   25:91:b:x
152:   25:28:c:y
153:   25:53:A:x
154:   25:59:B:y
155:   25:0:C:x
156:   26:93:a:y
157:   26:27:b:y
158:   26:74:c:x
159:   26:78:A:y
160:   26:81:B:x
161:   26:44:C:x
162:   27:87:a:y
163:   27:7:b:x
164:   27:25:c:y
165:   27:19:A:y
166:   27:8:B:x
167:   27:58:C:x
168:   28:81:a:x
169:   28:2:b:y
170:   28:97:c:y
171:   28:18:A:x
172:   28:80:B:y
173:   28:63:C:y
174:   29:40:a:x
175:   29:41:b:x
176:   29:70:c:x
177:   29:93:A:x
178:   29:78:B:x
179:   29:23:C:x
180:   30:33:a:y
181:   30:33:b:x
182:   30:31:c:y
183:   30:46:A:y
184:   30:44:B:y
185:   30:91:C:y
186:   31:6:a:x
187:   31:95:b:x
188:   31:44:c:y
189:   31:10:A:x
190:   31:56:B:x
191:   31:55:C:y
192:   32:37:a:y
193:   32:64:b:x
194:   32:17:c:y
195:   32:3:A:y
196:   32:19:B:y
197:   32:28:C:x
198:   33:25:a:y
199:   33:83:b:y
200:   33:97:c:y
201:   33:92:A:y
202:   33:10:B:y
203:   33:41:C:y
204:   34:15:a:y
205:   34:23:b:y
206:   34:33:c:x
207:   34:56:A:x
208:   34:69:B:y
209:   34:58:C:x
210:   35:52:a:y
211:   35:43:b:x
212:   35:70:c:x
213:   35:79:A:x
214:   35:43:B:y
215:   35:27:C:y
216:   36:26:a:y
217:   36:20:b:y
218:   36:23:c:y
219:   36:24:A:y
220:   36:90:B:x
221:   36:66:C:x
222:   37:96:a:x
223:   37:9:b:y
224:   37:35:c:x
225:   37:28:A:x
226:   37:39:B:x
227:   37:94:C:x
228:   38:92:a:x
229:   38:17:b:y
230:   38:37:c:x
231:   38:63:A:x
232:   38:7:B:x
233:   38:35:C:y
234:   39:21:a:x
235:   39:42:b:y
236:   39:85:c:x
237:   39:66:A:x
238:   39:49:B:x
239:   39:9:C:y
240:   40:86:a:y
241:   40:21:b:x
242:   40:29:c:x
243:   40:13:A:y
244:   40:13:B:y
245:   40:87:C:x
246:   41:99:a:x
247:   41:90:b:y
248:   41:49:c:y
249:   41:60:A:x
250:   41:80:B:x
251:   41:10:C:y
252:   42:5:a:y
253:   42:70:b:x
254:   42:50:c:y
255:   42:22:A:x
256:   42:37:B:y
257:   42:41:C:y
258:   43:39:a:y
259:   43:36:b:x
260:   43:31:c:y
261:   43:73:A:y
262:   43:6:B:x
263:   43:39:C:x
264:   44:16:a:y
265:   44:67:b:y
266:   44:79:c:y
267:   44:87:A:x
268:   44:9:B:x
269:   44:32:C:x
270:   45:61:a:x
271:   45:5:b:x
272:   45:99:c:y
273:   45:59:A:y
274:   45:19:B:x
275:   45:73:C:y
276:   46:36:a:y
277:   46:30:b:y
278:   46:15:c:y
279:   46:16:A:y
280:   46:30:B:x
281:   46:61:C:x
282:   47:75:a:x
283:   47:88:b:y
284:   47:71:c:y
285:   47:15:A:x
286:   47:71:B:y
287:   47:11:C:x
