states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:43:a:x
1:     0:88:b:x
2:     0:33:c:y
3:     0:94:A:y
4:     0:88:B:y
5:     0:80:C:x
6:     1:76:a:x
7:     1:38:b:y
8:     1:60:c:y
9:     1:3:A:x
10:    1:30:B:x
11:    1:98:C:y
12:    2:69:a:y
13:    2:46:b:y
14:    2:15:c:x
15:    2:52:A:x
16:    2:55:B:x
17:    2:91:C:x
18:    3:17:a:y
19:    3:40:b:x
20:    3:71:c:y
21:    3:49:A:x
22:    3:36:B:y
23:    3:36:C:y
24:    4:30:a:x
25:    4:45:b:x
26:    4:28:c:x
27:    4:8:A:y
28:    4:19:B:x
29:    4:85:C:y
30:    5:84:a:x
31:    5:75:b:x
32:    5:71:c:x
33:    5:59:A:y
34:    5:41:B:x
35:    5:65:C:x
36:    6:54:a:x
37:    6:40:b:x
38:    6:11:c:x
39:    6:97:A:y
40:    6:1:B:y
41:    6:36:C:x
42:    7:8:a:y
43:    7:74:b:x
44:    7:38:c:y
45:    7:41:A:x
46:    7:51:B:y
47:    7:62:C:x
48:    8:80:a:x
49:    8:67:b:y
50:    8:44:c:y
51:    8:58:A:x
52:    8:32:B:x
53:    8:88:C:x
54:    9:33:a:y
55:    9:40:b:y
56:    9:47:c:y
57:    9:44:A:x
58:    9:98:B:y
59:    9:66:C:y
60:    10:34:a:y
61:    10:91:b:y
62:    10:6:c:y
63:    10:66:A:x
64:    10:6:B:y
65:    10:12:C:x
66:    11:34:a:y
67:    11:27:b:x
68:    11:16:c:x
69:    11:93:A:y
70:    11:48:B:x
71:    11:77:C:x
72:    12:37:a:y
73:    12:24:b:x
74:    12:27:c:y
75:    12:28:A:x
76:    12:23:B:x
77:    12:13:C:y
78:    13:85:a:y
79:    13:15:b:y
80:    13:62:c:y
81:    13:92:A:y
82:    13:77:B:x
83:    13:72:C:x
84:    14:12:a:x
85:    14:87:b:x
86:    14:37:c:y
87:    14:90:A:x
88:    14:93:B:x
89:    14:10:C:y
90:    15:94:a:x
91:    15:61:b:x
92:    15:79:c:x
93:    15:7:A:x
94:    15:23:B:x
95:    15:80:C:x
96:    16:7:a:x
97:    16:64:b:x
98:    16:94:c:x
99:    16:96:A:x
100:   16:62:B:y
101:   16:19:C:y
102:   17:80:a:y
103:   17:83:b:x
104:   17:23:c:y
105:   17:83:A:x
106:   17:94:B:y
107:   17:36:C:x
108:   18:98:a:y
109:   18:52:b:x
110:   18:17:c:y
111:   18:85:A:y
112:   18:35:B:x
113:   18:7:C:x
114:   19:87:a:x
115:   19:64:b:y
116:   19:27:c:y
117:   19:35:A:y
118:   19:70:B:y
119:   19:88:C:x
120:   20:5:a:y
121:   20:41:b:y
122:   20:19:c:y
123:   20:53:A:y
124:   20:8:B:x
125:   20:36:C:x
126:   21:29:a:y
127:   21:74:b:y
128:   21:28:c:x
129:   21:3:A:x
130:   21:78:B:y
131:   21:23:C:y
132:   22:36:a:x
133:   22:7:b:y
134:   22:26:c:x
135:   22:18:A:y
136:   22:81:B:x
137:   22:52:C:x
138:   23:91:a:x
139:   23:84:b:x
140:   23:9:c:x
141:   23:6:A:y
142:   23:95:B:x
143:   23:8:C:y
144:   24:60:a:x
145:   24:10:b:x
146:   24:61:c:y
147:   24:86:A:x
148:   24:43:B:y
149:   24:57:C:y
150:   25:48:a:y
151:   25:2:b:x
152:   25:74:c:x
153:   25:61:A:x
154:   25:90:B:x
155:   25:71:C:x
156:   26:62:a:y
157:   26:73:b:x
158:   26:49:c:y
159:   26:86:A:x
160:   26:4:B:y
161:   26:23:C:x
162:   27:52:a:x
163:   27:12:b:x
164:   27:74:c:y
165:   27:52:A:x
166:   27:29:B:x
167:   27:35:C:y
168:   28:88:a:x
169:   28:59:b:x
170:   28:58:c:y
171:   28:74:A:y
172:   28:6:B:x
173:   28:76:C:x
174:   29:34:a:y
175:   29:8:b:y
176:   29:79:c:x
177:   29:47:A:x
178:   29:17:B:y
179:   29:83:C:x
180:   30:5:a:x
181:   30:9:b:y
182:   30:10:c:y
183:   30:66:A:x
184:   30:18:B:x
185:   30:40:C:y
186:   31:39:a:y
187:   31:38:b:y
188:   31:99:c:x
189:   31:20:A:x
190:   31:82:B:y
191:   31:78:C:y
192:   32:48:a:y
193:   32:45:b:y
194:   32:30:c:x
195:   32:0:A:x
196:   32:62:B:x
197:   32:21:C:x
198:   33:32:a:x
199:   33:57:b:x
200:   33:71:c:x
201:   33:69:A:x
202:   33:0:B:x
203:   33:93:C:x
204:   34:34:a:y
205:   34:46:b:y
206:   34:18:c:y
207:   34:44:A:x
208:   34:74:B:x
209:   34:3:C:y
210:   35:30:a:y
211:   35:57:b:y
212:   35:30:c:x
213:   35:82:A:y
214:   35:51:B:x
215:   35:3:C:y
216:   36:34:a:x
217:   36:37:b:x
218:   36:38:c:x
219:   36:43:A:x
220:   36:56:B:y
221:   36:68:C:y
222:   37:4:a:x
223:   37:82:b:y
224:   37:18:c:x
225:   37:55:A:x
226:   37:80:B:y
227:   37:97:C:x
228:   38:52:a:y
229:   38:98:b:y
230:   38:22:c:x
231:   38:59:A:x
232:   38:33:B:y
233:   38:4:C:y
234:   39:61:a:y
235:   39:56:b:x
236:   39:97:c:y
237:   39:39:A:y
238:   39:80:B:y
239:   39:22:C:x
240:   40:24:a:y
241:   40:99:b:x
242:   40:27:c:y
243:   40:15:A:y
244:   40:23:B:x
245:   40:35:C:x
246:   41:85:a:y
247:   41:79:b:x
248:   41:48:c:y
249:   41:59:A:y
250:   41:11:B:y
251:   41:3:C:y
252:   42:86:a:y
253:   42:69:b:x
254:   42:68:c:x
255:   42:35:A:y
256:   42:60:B:x
257:   42:96:C:y
258:   43:3:a:x
259:   43:6:b:y
260:   43:48:c:x
261:   43:44:A:y
262:   43:25:B:x
263:   43:58:C:x
264:   44:98:a:x
265:   44:95:b:x
266:   44:85:c:x
267:   44:5:A:y
268:   44:10:B:y
269:   44:95:C:y
270:   45:83:a:y
271:   45:34:b:y
272:   45:46:c:x
273:   45:63:A:x
274:   45:70:B:y
275:   45:29:C:x
276:   46:47:a:y
277:   46:32:b:y
278:   46:79:c:y
279:   46:46:A:y
280:   46:89:B:y
281:   46:20:C:x
282:   47:66:a:x
283:   47:46:b:x
284:   47:96:c:y
285:   47:51:A:y
286:   47:68:B:x
287:   47:73:C:x
288:   48:45:a:x
289:   48:82:b:y
290:   48:64:c:y
291:   48:98:A:y
292:   48:39:B:x
293:   48:1:C:x
294:   49:93:a:y
295:   49:1:b:y
296:   49:82:c:x
297:   49:35:A:x
298:   49:55:B:y
299:   49:64:C:x
300:   50:42:a:x
301:   50:29:b:x
302:   50:22:c:x
303:   50:92:A:x
304:   50:51:B:x
305:   50:20:C:x
306:   51:37:a:y
307:   51:55:b:x
308:   51:91:c:y
309:   51:92:A:y
310:   51:46:B:x
311:   51:70:C:x
312:   52:66:a:x
313:   52:2:b:y
314:   52:24:c:y
315:   52:10:A:y
316:   52:89:B:x
317:   52:83:C:x
318:   53:53:a:x
319:   53:59:b:y
320:   53:93:c:x
321:   53:53:A:x
322:   53:30:B:x
323:   53:57:C:y
324:   54:4:a:x
325:   54:78:b:x
326:   54:5:c:y
327:   54:24:A:y
328:   54:5:B:y
329:   54:90:C:x
330:   55:7:a:x
331:   55:54:b:y
332:   55:50:c:x
333:   55:15:A:y
334:   55:41:B:y
335:   55:50:C:x
336:   56:99:a:x
337:   56:87:b:x
338:   56:61:c:x
339:   56:26:A:x
340:   56:15:B:x
341:   56:95:C:y
342:   57:79:a:x
343:   57:40:b:x
344:   57:5:c:x
345:   57:16:A:y
346:   57:24:B:x
347:   57:10:C:y
348:   58:70:a:y
349:   58:51:b:x
350:   58:7:c:y
351:   58:90:A:y
352:   58:19:B:y
353:   58:18:C:y
354:   59:71:a:x
355:   59:87:b:y
356:   59:6:c:x
357:   59:15:A:x
358:   59:65:B:y
359:   59:70:C:y
360:   60:4:a:x
361:   60:53:b:x
362:   60:83:c:y
363:   60:51:A:x
364:   60:92:B:y
365:   60:77:C:x
366:   61:73:a:y
367:   61:29:b:x
368:   61:85:c:x
369:   61:47:A:x
370:   61:1:B:y
371:   61:81:C:x
372:   62:25:a:y
373:   62:68:b:x
374:   62:1:c:x
375:   62:95:A:y
376:   62:65:B:y
377:   62:56:C:x
378:   63:73:a:y
379:   63:59:b:x
380:   63:45:c:x
381:   63:62:A:y
382:   63:73:B:y
383:   63:53:C:y
384:   64:99:a:x
385:   64:96:b:y
386:   64:78:c:x
387:   64:89:A:x
388:   64:33:B:x
389:   64:63:C:x
390:   65:45:a:y
391:   65:77:b:x
392:   65:32:c:x
393:   65:20:A:x
394:   65:12:B:y
395:   65:41:C:x
396:   66:11:a:x
397:   66:47:b:x
398:   66:82:c:x
399:   66:94:A:x
400:   66:48:B:x
401:   66:11:C:x
402:   67:71:a:x
403:   67:57:b:y
404:   67:96:c:x
405:   67:55:A:y
406:   67:2:B:x
407:   67:72:C:x
408:   68:81:a:y
409:   68:18:b:x
410:   68:73:c:x
411:   68:66:A:y
412:   68:43:B:y
413:   68:91:C:x
414:   69:93:a:x
415:   69:78:b:y
416:   69:40:c:y
417:   69:76:A:x
418:   69:53:B:x
419:   69:20:C:y
420:   70:33:a:x
421:   70:97:b:y
422:   70:4:c:y
423:   70:54:A:y
424:   70:37:B:x
425:   70:78:C:y
426:   71:13:a:y
427:   71:20:b:y
428:   71:37:c:x
429:   71:92:A:x
430:   71:12:B:y
431:   71:41:C:y
432:   72:75:a:x
433:   72:86:b:y
434:   72:17:c:x
435:   72:77:A:y
436:   72:81:B:x
437:   72:70:C:x
438:   73:28:a:x
439:   73:58:b:y
440:   73:22:c:y
441:   73:17:A:x
442:   73:43:B:y
443:   73:69:C:y
444:   74:81:a:x
445:   74:79:b:x
446:   74:55:c:y
447:   74:96:A:y
448:   74:31:B:x
449:   74:57:C:x
450:   75:89:a:x
451:   75:1:b:y
452:   75:84:c:y
453:   75:25:A:y
454:   75:68:B:x
455:   75:19:C:x
456:   76:21:a:x
457:   76:56:b:y
458:   76:84:c:x
459:   76:0:A:x
460:   76:58:B:y
461:   76:50:C:x
462:   77:54:a:x
463:   77:33:b:x
464:   77:17:c:y
465:   77:22:A:y
466:   77:97:B:y
467:   77:64:C:y
468:   78:76:a:x
469:   78:54:b:y
470:   78:88:c:x
471:   78:76:A:x
472:   78:19:B:x
473:   78:65:C:x
474:   79:50:a:y
475:   79:65:b:y
476:   79:65:c:y
477:   79:58:A:y
478:   79:50:B:x
479:   79:32:C:y
480:   80:91:a:x
481:   80:77:b:y
482:   80:28:c:y
483:   80:2:A:x
484:   80:28:B:x
485:   80:16:C:y
486:   81:97:a:y
487:   81:22:b:x
488:   81:94:c:x
489:   81:63:A:y
490:   81:75:B:x
491:   81:84:C:x
492:   82:54:a:x
493:   82:89:b:y
494:   82:75:c:x
495:   82:24:A:x
496:   82:67:B:x
497:   82:29:C:x
498:   83:63:a:y
499:   83:89:b:x
500:   83:11:c:y
501:   83:99:A:x
502:   83:14:B:x
503:   83:90:C:x
504:   84:61:a:x
505:   84:38:b:y
506:   84:87:c:x
507:   84:87:A:x
508:   84:32:B:y
509:   84:86:C:y
510:   85:27:a:x
511:   85:63:b:y
512:   85:45:c:y
513:   85:67:A:x
514:   85:26:B:y
515:   85:67:C:y
516:   86:16:a:x
517:   86:81:b:x
518:   86:69:c:x
519:   86:39:A:x
520:   86:25:B:y
521:   86:76:C:x
522:   87:9:a:y
523:   87:2:b:y
524:   87:68:c:x
525:   87:63:A:x
526:   87:47:B:y
527:   87:16:C:y
528:   88:8:a:x
529:   88:0:b:y
530:   88:56:c:y
531:   88:75:A:x
532:   88:27:B:x
533:   88:38:C:y
534:   89:16:a:y
535:   89:11:b:y
536:   89:84:c:y
537:   89:21:A:x
538:   89:25:B:x
539:   89:99:C:x
540:   90:43:a:y
541:   90:26:b:y
542:   90:69:c:y
543:   90:72:A:y
544:   90:56:B:x
545:   90:95:C:y
546:   91:67:a:x
547:   91:64:b:x
548:   91:90:c:x
549:   91:14:A:x
550:   91:13:B:y
551:   91:86:C:y
552:   92:13:a:x
553:   92:12:b:x
554:   92:72:c:x
555:   92:75:A:x
556:   92:21:B:y
557:   92:9:C:x
558:   93:67:a:y
559:   93:44:b:x
560:   93:13:c:x
561:   93:50:A:y
562:   93:92:B:y
563:   93:42:C:y
564:   94:2:a:y
565:   94:26:b:y
566:   94:0:c:y
567:   94:39:A:x
568:   94:49:B:x
569:   94:44:C:x
570:   95:13:a:x
571:   95:21:b:y
572:   95:25:c:x
573:   95:9:A:x
574:   95:21:B:y
575:   95:42:C:y
576:   96:60:a:y
577:   96:0:b:y
578:   96:49:c:y
579:   96:60:A:y
580:   96:31:B:y
581:   96:60:C:y
582:   97:49:a:y
583:   97:26:b:x
584:   97:72:c:y
585:   97:14:A:y
586:   97:9:B:y
587:   97:14:C:x
588:   98:31:a:y
589:   98:39:b:x
590:   98:31:c:y
591:   98:31:A:x
592:   98:72:B:y
593:   98:14:C:y
594:   99:31:a:y
595:   99:42:b:y
596:   99:49:c:y
597:   99:14:A:x
598:   99:42:B:x
599:   99:42:C:y
