states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:80:b:y
1:     0:60:c:x
2:     0:22:B:x
3:     0:60:A:y
4:     0:5:a:x
5:     1:26:a:y
6:     1:30:b:y
7:     1:77:C:x
8:     1:65:c:x
9:     1:13:A:y
10:    2:65:B:y
11:    2:61:c:x
12:    2:0:a:x
13:    2:51:C:y
14:    2:36:b:y
15:    3:31:C:y
16:    3:44:B:x
17:    3:6:b:x
18:    3:8:a:x
19:    3:89:A:y
20:    4:25:b:y
21:    4:42:a:y
22:    4:85:B:y
23:    4:30:A:x
24:    4:2:c:x
25:    5:75:A:y
26:    5:20:a:x
27:    5:93:B:x
28:    5:87:c:y
29:    5:58:C:x
30:    6:50:b:x
31:    6:82:A:x
32:    6:69:c:y
33:    6:80:B:x
34:    6:49:C:y
35:    7:80:b:y
36:    7:84:C:y
37:    7:66:a:y
38:    7:50:B:y
39:    7:79:c:y
40:    8:51:A:x
41:    8:23:a:x
42:    8:83:C:x
43:    8:97:B:y
44:    8:35:b:x
45:    9:91:B:y
46:    9:69:A:x
47:    9:13:c:y
48:    9:64:C:y
49:    9:18:a:x
50:    10:40:a:x
51:    10:27:C:x
52:    10:28:A:y
53:    10:20:B:x
54:    10:81:c:y
55:    11:16:A:y
56:    11:21:B:x
57:    11:71:c:x
58:    11:20:C:x
59:    11:94:b:y
60:    12:90:A:y
61:    12:93:C:x
62:    12:46:b:y
63:    12:52:a:y
64:    12:81:c:x
65:    13:41:a:y
66:    13:86:c:x
67:    13:94:A:y
68:    13:21:B:x
69:    13:25:b:x
70:    14:62:C:y
71:    14:15:c:y
72:    14:52:b:x
73:    14:24:A:y
74:    14:95:a:x
75:    15:8:c:y
76:    15:22:a:x
77:    15:14:b:y
78:    15:62:C:x
79:    15:5:B:y
80:    16:52:A:x
81:    16:47:c:y
82:    16:98:B:x
83:    16:11:b:x
84:    16:12:C:y
85:    17:30:b:x
86:    17:65:A:y
87:    17:60:C:y
88:    17:26:B:y
89:    17:73:c:x
90:    18:8:c:x
91:    18:39:B:y
92:    18:84:b:x
93:    18:64:A:y
94:    18:63:C:x
95:    19:21:B:x
96:    19:25:C:y
97:    19:95:c:x
98:    19:28:b:x
99:    19:27:a:y
100:   20:41:B:x
101:   20:11:a:x
102:   20:6:c:x
103:   20:32:b:x
104:   20:66:A:x
105:   21:63:a:x
106:   21:12:C:y
107:   21:57:c:y
108:   21:7:B:y
109:   21:24:b:x
110:   22:29:a:x
111:   22:75:C:x
112:   22:82:b:y
113:   22:28:A:x
114:   22:57:c:x
115:   23:27:C:x
116:   23:83:a:x
117:   23:85:c:x
118:   23:83:A:y
119:   23:67:b:y
120:   24:46:a:x
121:   24:44:c:y
122:   24:66:b:y
123:   24:73:C:x
124:   24:17:A:x
125:   25:47:b:x
126:   25:7:A:x
127:   25:73:a:x
128:   25:41:c:x
129:   25:48:C:y
130:   26:39:a:y
131:   26:94:A:y
132:   26:92:c:y
133:   26:11:b:y
134:   26:63:C:y
135:   27:84:b:x
136:   27:40:A:y
137:   27:87:C:y
138:   27:24:B:x
139:   27:58:c:x
140:   28:81:B:y
141:   28:36:A:y
142:   28:50:c:x
143:   28:91:b:y
144:   28:98:a:y
145:   29:26:B:y
146:   29:91:a:y
147:   29:95:C:y
148:   29:12:c:x
149:   29:46:A:x
150:   30:10:c:x
151:   30:0:A:x
152:   30:44:C:y
153:   30:75:B:y
154:   30:48:b:y
155:   31:78:a:x
156:   31:67:C:x
157:   31:79:B:x
158:   31:77:A:x
159:   31:67:b:x
160:   32:54:a:x
161:   32:99:c:y
162:   32:85:B:x
163:   32:33:b:y
164:   32:42:C:y
165:   33:96:A:y
166:   33:18:b:x
167:   33:56:C:y
168:   33:42:B:x
169:   33:10:c:y
170:   34:0:B:y
171:   34:49:C:x
172:   34:99:c:y
173:   34:98:b:x
174:   34:47:a:x
175:   35:48:b:y
176:   35:2:C:x
177:   35:86:B:y
178:   35:89:a:y
179:   35:57:c:y
180:   36:15:c:x
181:   36:4:C:x
182:   36:10:a:x
183:   36:96:A:y
184:   36:17:b:y
185:   37:45:c:y
186:   37:97:b:x
187:   37:78:B:x
188:   37:79:C:y
189:   37:7:A:x
190:   38:34:B:x
191:   38:34:b:y
192:   38:13:c:x
193:   38:19:A:x
194:   38:78:a:y
195:   39:55:c:x
196:   39:70:B:y
197:   39:15:a:y
198:   39:72:b:x
199:   39:96:A:x
200:   40:56:a:y
201:   40:71:A:y
202:   40:99:c:y
203:   40:32:C:y
204:   40:5:B:y
205:   41:87:a:y
206:   41:39:c:x
207:   41:43:C:y
208:   41:4:b:x
209:   41:55:B:x
210:   42:3:A:y
211:   42:23:c:x
212:   42:1:C:x
213:   42:22:a:x
214:   42:14:b:y
215:   43:76:B:x
216:   43:29:c:y
217:   43:59:A:x
218:   43:29:b:x
219:   43:6:a:y
220:   44:51:C:x
221:   44:82:A:y
222:   44:34:B:x
223:   44:62:c:x
224:   44:49:a:y
225:   45:4:a:x
226:   45:1:A:y
227:   45:14:c:y
228:   45:86:B:y
229:   45:97:C:y
230:   46:43:a:x
231:   46:1:c:y
232:   46:55:B:x
233:   46:90:b:x
234:   46:3:C:y
235:   47:3:C:y
236:   47:88:b:y
237:   47:92:a:x
238:   47:77:A:y
239:   47:64:c:x
240:   48:89:a:x
241:   48:31:b:x
242:   48:70:B:x
243:   48:45:A:x
244:   48:92:C:x
245:   49:76:b:y
246:   49:38:A:y
247:   49:32:B:y
248:   49:16:c:y
249:   49:54:C:x
250:   50:61:B:y
251:   50:58:a:y
252:   50:72:b:y
253:   50:70:C:y
254:   50:19:c:x
255:   51:45:a:x
256:   51:74:A:x
257:   51:61:B:x
258:   51:53:c:x
259:   51:59:b:x
260:   52:17:B:x
261:   52:69:c:y
262:   52:2:a:y
263:   52:35:C:x
264:   52:74:A:y
265:   53:59:b:y
266:   53:19:A:x
267:   53:56:c:x
268:   53:54:a:y
269:   53:18:C:y
270:   54:74:A:y
271:   54:33:B:x
272:   54:71:c:y
273:   54:93:a:y
274:   54:37:C:y
275:   55:31:B:x
276:   55:9:b:x
277:   55:53:A:y
278:   55:16:C:x
279:   55:35:c:x
280:   56:68:a:y
281:   56:36:A:x
282:   56:37:c:x
283:   56:33:B:x
284:   56:23:C:x
285:   57:37:c:y
286:   57:38:A:x
287:   57:90:B:x
288:   57:40:C:y
289:   57:76:a:x
290:   58:72:B:x
291:   58:38:b:x
292:   58:53:C:x
293:   58:68:c:y
294:   58:9:A:x
295:   59:68:c:x
296:   59:88:a:x
297:   59:88:B:y
298:   59:9:A:x
299:   59:43:b:y
300:   60:47:B:y
301:   60:59:a:x
302:   60:48:C:y
303:   60:4:b:y
304:   60:83:A:y
305:   61:43:C:x
306:   61:44:c:x
307:   61:39:A:x
308:   61:39:b:y
309:   61:4:a:y
310:   62:81:b:x
311:   62:62:A:x
312:   62:48:a:y
313:   62:52:B:y
314:   62:48:C:y
315:   63:66:B:y
316:   63:36:A:x
317:   63:2:a:x
318:   63:99:b:x
319:   63:39:C:x
320:   64:75:B:x
321:   64:99:c:y
322:   64:55:C:y
323:   64:55:A:x
324:   64:80:a:y
325:   65:39:b:y
326:   65:23:C:x
327:   65:25:a:y
328:   65:49:B:x
329:   65:34:c:y
330:   66:48:a:y
331:   66:71:A:x
332:   66:13:B:x
333:   66:99:b:y
334:   66:39:C:y
335:   67:30:b:x
336:   67:23:C:y
337:   67:43:A:y
338:   67:58:c:y
339:   67:69:a:y
340:   68:82:a:y
341:   68:45:b:x
342:   68:33:c:y
343:   68:89:A:x
344:   68:46:C:x
345:   69:60:A:x
346:   69:45:c:x
347:   69:13:C:x
348:   69:18:a:y
349:   69:57:B:x
350:   70:93:B:y
351:   70:8:b:x
352:   70:29:a:y
353:   70:39:C:y
354:   70:78:c:x
355:   71:8:B:y
356:   71:35:C:y
357:   71:60:c:x
358:   71:42:b:y
359:   71:99:A:y
360:   72:23:a:y
361:   72:4:c:x
362:   72:28:C:y
363:   72:57:b:x
364:   72:92:A:x
365:   73:91:c:y
366:   73:3:a:x
367:   73:78:A:x
368:   73:47:B:x
369:   73:79:C:y
370:   74:38:B:x
371:   74:99:a:x
372:   74:35:A:x
373:   74:58:b:y
374:   74:46:c:x
375:   75:14:b:y
376:   75:19:B:y
377:   75:31:c:y
378:   75:0:a:y
379:   75:82:A:x
380:   76:21:B:y
381:   76:44:c:x
382:   76:11:a:y
383:   76:14:b:x
384:   76:80:A:x
385:   77:46:B:x
386:   77:22:c:x
387:   77:56:A:x
