states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:10:C:x
1:     0:30:B:y
2:     0:97:c:y
3:     0:29:A:y
4:     0:60:a:x
5:     1:45:c:y
6:     1:95:A:y
7:     1:83:a:y
8:     1:72:B:y
9:     1:39:C:y
10:    2:14:c:y
11:    2:78:a:x
12:    2:61:C:y
13:    2:78:B:y
14:    2:71:A:y
15:    3:41:B:x
16:    3:22:c:x
17:    3:4:C:y
18:    3:25:b:x
19:    3:37:a:x
20:    4:2:B:y
21:    4:75:b:y
22:    4:46:c:x
23:    4:71:C:x
24:    4:50:a:x
25:    5:60:A:x
26:    5:36:c:x
27:    5:36:a:y
28:    5:53:b:y
29:    5:78:C:y
30:    6:27:c:y
31:    6:72:C:y
32:    6:48:A:x
33:    6:2:b:x
34:    6:2:B:x
35:    7:31:b:y
36:    7:48:a:y
37:    7:23:B:x
38:    7:34:C:y
39:    7:92:c:x
40:    8:3:C:y
41:    8:94:c:y
42:    8:28:B:x
43:    8:76:b:x
44:    8:44:A:x
45:    9:52:C:y
46:    9:94:A:x
47:    9:76:a:y
48:    9:89:b:y
49:    9:75:c:x
50:    10:93:B:x
51:    10:50:c:x
52:    10:11:a:y
53:    10:35:b:y
54:    10:24:C:x
55:    11:39:B:x
56:    11:37:a:y
57:    11:59:b:y
58:    11:57:A:y
59:    11:44:c:y
60:    12:86:C:y
61:    12:35:a:y
62:    12:48:c:x
63:    12:32:B:y
64:    12:37:A:y
65:    13:55:b:x
66:    13:53:B:y
67:    13:53:a:y
68:    13:7:C:x
69:    13:91:c:y
70:    14:64:a:y
71:    14:95:c:y
72:    14:61:B:x
73:    14:59:b:x
74:    14:56:C:x
75:    15:45:b:x
76:    15:95:A:x
77:    15:74:B:y
78:    15:22:a:x
79:    15:36:c:x
80:    16:4:a:y
81:    16:51:b:y
82:    16:94:c:y
83:    16:17:A:x
84:    16:97:B:x
85:    17:60:c:y
86:    17:4:a:y
87:    17:89:b:x
88:    17:8:A:y
89:    17:83:B:x
90:    18:38:A:y
91:    18:81:c:y
92:    18:92:a:y
93:    18:91:C:x
94:    18:9:B:y
95:    19:73:c:x
96:    19:20:a:y
97:    19:8:C:y
