states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:98:a:y
1:     0:79:b:x
2:     0:23:c:y
3:     0:79:A:x
4:     0:13:B:x
5:     0:52:C:y
6:     1:28:a:x
7:     1:72:b:x
8:     1:60:c:x
9:     1:43:A:x
10:    1:45:B:y
11:    1:46:C:x
12:    2:40:a:y
13:    2:15:b:x
14:    2:6:c:x
15:    2:14:A:y
16:    2:61:B:x
17:    2:14:C:y
18:    3:27:a:y
19:    3:15:b:x
20:    3:57:c:y
21:    3:19:A:x
22:    3:32:B:x
23:    3:1:C:x
24:    4:56:a:y
25:    4:96:b:x
26:    4:24:c:y
27:    4:29:A:x
28:    4:48:B:x
29:    4:92:C:y
30:    5:12:a:y
31:    5:92:b:y
32:    5:96:c:x
33:    5:24:A:y
34:    5:7:B:x
35:    5:29:C:x
36:    6:53:a:x
37:    6:91:b:x
38:    6:51:c:y
39:    6:7:A:x
40:    6:15:B:x
41:    6:33:C:x
42:    7:51:a:y
43:    7:83:b:y
44:    7:97:c:x
45:    7:54:A:x
46:    7:9:B:x
47:    7:9:C:y
48:    8:17:a:x
49:    8:96:b:x
50:    8:19:c:x
51:    8:85:A:y
52:    8:45:B:x
53:    8:72:C:y
54:    9:73:a:x
55:    9:13:b:y
56:    9:14:c:x
57:    9:36:A:x
58:    9:20:B:y
59:    9:68:C:x
60:    10:34:a:x
61:    10:91:b:x
62:    10:9:c:y
63:    10:56:A:x
64:    10:4:B:x
65:    10:76:C:x
66:    11:73:a:x
67:    11:43:b:x
68:    11:62:c:x
69:    11:58:A:x
70:    11:79:B:x
71:    11:89:C:y
72:    12:73:a:x
73:    12:35:b:y
74:    12:33:c:x
75:    12:18:A:x
76:    12:78:B:x
77:    12:93:C:y
78:    13:28:a:y
79:    13:12:b:y
80:    13:5:c:y
81:    13:43:A:y
82:    13:23:B:y
83:    13:25:C:x
84:    14:52:a:x
85:    14:40:b:x
86:    14:17:c:x
87:    14:23:A:x
88:    14:46:B:x
89:    14:46:C:x
90:    15:25:a:y
91:    15:75:b:x
92:    15:80:c:y
93:    15:39:A:x
94:    15:92:B:y
95:    15:44:C:y
96:    16:27:a:x
97:    16:39:b:x
98:    16:76:c:y
99:    16:64:A:x
100:   16:68:B:y
101:   16:42:C:y
102:   17:0:a:x
103:   17:13:b:y
104:   17:66:c:y
105:   17:68:A:x
106:   17:66:B:x
107:   17:58:C:x
108:   18:77:a:x
109:   18:28:b:y
110:   18:87:c:y
111:   18:67:A:y
112:   18:32:B:y
113:   18:84:C:y
114:   19:45:a:x
115:   19:57:b:y
116:   19:35:c:y
117:   19:83:A:y
118:   19:41:B:x
119:   19:53:C:y
120:   20:53:a:x
121:   20:80:b:x
122:   20:31:c:y
123:   20:18:A:y
124:   20:94:B:x
125:   20:67:C:x
126:   21:34:a:y
127:   21:78:b:x
128:   21:10:c:x
129:   21:97:A:x
130:   21:98:B:y
131:   21:48:C:y
132:   22:88:a:x
133:   22:1:b:x
134:   22:69:c:y
135:   22:51:A:x
136:   22:70:B:y
137:   22:12:C:y
138:   23:56:a:y
139:   23:91:b:y
140:   23:86:c:x
141:   23:63:A:x
142:   23:26:B:y
143:   23:65:C:x
144:   24:85:a:y
145:   24:58:b:x
146:   24:10:c:y
147:   24:49:A:x
148:   24:98:B:x
149:   24:84:C:x
150:   25:71:a:x
151:   25:62:b:x
152:   25:30:c:y
153:   25:80:A:x
154:   25:85:B:y
155:   25:24:C:y
156:   26:30:a:y
157:   26:77:b:y
158:   26:47:c:x
159:   26:44:A:y
160:   26:99:B:x
161:   26:72:C:x
162:   27:49:a:y
163:   27:52:b:y
164:   27:4:c:x
165:   27:75:A:y
166:   27:48:B:x
167:   27:38:C:x
168:   28:3:a:y
169:   28:61:b:y
170:   28:97:c:x
171:   28:4:A:x
