states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:10:a:y
1:     0:5:b:y
2:     0:50:c:y
3:     0:83:A:y
4:     0:90:B:x
5:     0:20:C:y
6:     1:15:a:y
7:     1:11:b:x
8:     1:55:c:y
9:     1:92:A:x
10:    1:83:B:y
11:    1:45:C:x
12:    2:87:a:y
13:    2:20:b:x
14:    2:14:c:y
15:    2:60:A:y
16:    2:67:B:x
17:    2:35:C:y
18:    3:60:a:y
19:    3:78:b:y
20:    3:0:c:x
21:    3:1:A:y
22:    3:67:B:x
23:    3:35:C:y
24:    4:71:a:y
25:    4:82:b:y
26:    4:52:c:x
27:    4:46:A:x
28:    4:61:B:x
29:    4:26:C:y
30:    5:94:a:x
31:    5:50:b:y
32:    5:74:c:x
33:    5:68:A:y
34:    5:92:B:x
35:    5:73:C:y
36:    6:14:a:y
37:    6:69:b:y
38:    6:72:c:y
39:    6:2:A:x
40:    6:73:B:x
41:    6:23:C:y
42:    7:41:a:y
43:    7:4:b:x
44:    7:24:c:x
45:    7:67:A:y
46:    7:13:B:x
47:    7:57:C:x
48:    8:65:a:y
49:    8:32:b:y
50:    8:79:c:y
51:    8:34:A:y
52:    8:50:B:x
53:    8:56:C:y
54:    9:31:a:y
55:    9:88:b:x
56:    9:16:c:y
57:    9:61:A:x
58:    9:79:B:y
59:    9:53:C:x
60:    10:99:a:x
61:    10:19:b:x
62:    10:82:c:y
63:    10:66:A:x
64:    10:41:B:x
65:    10:8:C:x
66:    11:71:a:x
67:    11:0:b:x
68:    11:45:c:y
69:    11:35:A:x
70:    11:51:B:y
71:    11:70:C:x
72:    12:28:a:x
73:    12:19:b:y
74:    12:23:c:x
75:    12:40:A:y
76:    12:59:B:x
77:    12:68:C:y
78:    13:87:a:y
79:    13:22:b:x
80:    13:21:c:x
81:    13:70:A:x
82:    13:37:B:y
83:    13:75:C:x
84:    14:95:a:y
85:    14:53:b:y
86:    14:53:c:y
87:    14:66:A:y
88:    14:68:B:x
89:    14:3:C:y
90:    15:96:a:x
