states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:13:a:x
1:     0:86:b:x
2:     0:36:c:x
3:     0:57:A:x
4:     0:62:B:x
5:     0:87:C:x
6:     1:40:a:y
7:     1:45:b:x
8:     1:98:c:y
9:     1:31:A:x
10:    1:29:B:x
11:    1:66:C:y
12:    2:97:a:y
13:    2:19:b:x
14:    2:29:c:x
15:    2:56:A:x
16:    2:14:B:x
17:    2:89:C:x
18:    3:53:a:x
19:    3:50:b:x
20:    3:1:c:y
21:    3:20:A:y
22:    3:43:B:y
23:    3:86:C:x
24:    4:70:a:x
25:    4:81:b:y
26:    4:53:c:x
27:    4:39:A:x
28:    4:11:B:x
29:    4:81:C:x
30:    5:17:a:y
31:    5:53:b:x
32:    5:10:c:x
33:    5:89:A:y
34:    5:68:B:y
35:    5:0:C:y
36:    6:25:a:x
37:    6:45:b:x
38:    6:45:c:y
39:    6:86:A:x
40:    6:78:B:x
41:    6:36:C:y
42:    7:92:a:y
43:    7:25:b:x
44:    7:31:c:x
45:    7:81:A:x
46:    7:74:B:y
47:    7:46:C:y
48:    8:62:a:y
49:    8:83:b:x
50:    8:62:c:x
51:    8:84:A:x
52:    8:13:B:x
53:    8:60:C:y
54:    9:26:a:x
55:    9:79:b:y
56:    9:84:c:x
57:    9:99:A:y
58:    9:27:B:x
59:    9:96:C:y
60:    10:4:a:y
61:    10:51:b:x
62:    10:64:c:y
63:    10:69:A:y
64:    10:71:B:y
65:    10:95:C:x
66:    11:72:a:y
67:    11:35:b:y
68:    11:82:c:y
69:    11:8:A:x
70:    11:64:B:x
71:    11:77:C:y
72:    12:15:a:x
73:    12:36:b:x
74:    12:83:c:y
75:    12:20:A:y
76:    12:27:B:x
77:    12:34:C:y
78:    13:88:a:y
79:    13:4:b:y
80:    13:39:c:x
81:    13:51:A:x
82:    13:66:B:y
83:    13:54:C:x
84:    14:78:a:y
85:    14:72:b:y
86:    14:0:c:x
87:    14:69:A:y
88:    14:39:B:y
