states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:99:a:x
1:     0:4:b:x
2:     0:67:c:x
3:     0:42:A:y
4:     0:11:B:y
5:     0:29:C:y
6:     1:45:a:x
7:     1:41:b:x
8:     1:13:c:x
9:     1:25:A:y
10:    1:71:B:x
11:    1:43:C:x
12:    2:65:a:x
13:    2:76:b:x
14:    2:81:c:x
15:    2:31:A:x
16:    2:60:B:y
17:    2:51:C:y
18:    3:34:a:x
19:    3:13:b:y
20:    3:46:c:x
21:    3:40:A:y
22:    3:43:B:x
23:    3:97:C:x
24:    4:22:a:y
25:    4:64:b:x
26:    4:32:c:x
27:    4:51:A:y
28:    4:37:B:y
29:    4:84:C:x
30:    5:77:a:x
31:    5:51:b:y
32:    5:76:c:x
33:    5:10:A:y
34:    5:60:B:y
35:    5:16:C:y
36:    6:19:a:x
37:    6:8:b:x
38:    6:27:c:x
39:    6:69:A:y
40:    6:11:B:y
41:    6:73:C:y
42:    7:42:a:y
43:    7:26:b:x
44:    7:44:c:x
45:    7:50:A:y
46:    7:91:B:y
47:    7:67:C:y
48:    8:76:a:x
49:    8:55:b:x
50:    8:32:c:x
51:    8:59:A:y
52:    8:32:B:x
53:    8:68:C:y
54:    9:68:a:y
55:    9:12:b:x
56:    9:79:c:y
57:    9:84:A:y
58:    9:24:B:y
59:    9:39:C:x
60:    10:83:a:y
61:    10:8:b:x
62:    10:8:c:x
63:    10:91:A:y
64:    10:74:B:x
65:    10:13:C:x
66:    11:36:a:y
67:    11:33:b:x
68:    11:67:c:y
69:    11:79:A:x
70:    11:90:B:x
71:    11:27:C:x
72:    12:55:a:x
73:    12:31:b:x
74:    12:48:c:y
75:    12:80:A:y
76:    12:34:B:x
77:    12:83:C:x
78:    13:60:a:y
79:    13:66:b:x
80:    13:34:c:y
81:    13:42:A:x
82:    13:70:B:x
83:    13:84:C:x
84:    14:82:a:x
85:    14:68:b:x
86:    14:78:c:y
87:    14:63:A:x
88:    14:55:B:y
89:    14:43:C:x
90:    15:74:a:x
91:    15:33:b:y
92:    15:94:c:y
93:    15:93:A:y
94:    15:14:B:x
95:    15:99:C:x
96:    16:12:a:x
97:    16:65:b:x
98:    16:53:c:x
99:    16:77:A:y
100:   16:56:B:y
101:   16:28:C:x
102:   17:26:a:x
103:   17:61:b:y
104:   17:22:c:y
105:   17:49:A:y
106:   17:30:B:x
107:   17:89:C:x
108:   18:40:a:y
109:   18:98:b:x
110:   18:29:c:x
111:   18:3:A:x
112:   18:23:B:x
113:   18:22:C:x
114:   19:93:a:y
