states: 100
input_set: a , b , c , A , B , C
output_set: x , y

0:     0:88:a:x
1:     0:39:b:y
2:     0:9:c:y
3:     0:80:A:y
4:     0:32:B:y
5:     0:39:C:y
6:     1:20:a:y
7:     1:78:b:y
8:     1:78:c:x
9:     1:54:A:y
10:    1:67:B:x
11:    1:33:C:y
12:    2:67:a:y
13:    2:78:b:x
14:    2:38:c:x
15:    2:5:A:y
16:    2:42:B:x
17:    2:0:C:x
18:    3:6:a:x
19:    3:25:b:y
20:    3:51:c:y
21:    3:15:A:x
22:    3:40:B:x
23:    3:84:C:x
24:    4:47:a:y
25:    4:5:b:y
26:    4:55:c:y
27:    4:59:A:x
28:    4:75:B:x
29:    4:25:C:x
30:    5:40:a:y
31:    5:19:b:y
32:    5:30:c:y
33:    5:16:A:y
34:    5:98:B:x
35:    5:91:C:y
36:    6:36:a:x
37:    6:10:b:x
38:    6:93:c:x
39:    6:55:A:y
40:    6:82:B:x
41:    6:75:C:x
42:    7:22:a:y
43:    7:28:b:x
44:    7:14:c:y
45:    7:98:A:x
46:    7:61:B:y
47:    7:83:C:y
48:    8:31:a:y
49:    8:12:b:y
50:    8:34:c:x
51:    8:30:A:x
52:    8:99:B:y
53:    8:29:C:y
54:    9:96:a:y
55:    9:51:b:y
56:    9:45:c:y
57:    9:8:A:y
58:    9:68:B:x
59:    9:79:C:x
60:    10:80:a:x
61:    10:23:b:x
62:    10:27:c:x
63:    10:14:A:y
64:    10:58:B:y
65:    10:25:C:x
66:    11:22:a:y
67:    11:39:b:y
68:    11:49:c:y
69:    11:34:A:y
70:    11:78:B:x
71:    11:18:C:y
72:    12:70:a:y
73:    12:92:b:y
74:    12:89:c:x
75:    12:52:A:x
76:    12:15:B:y
77:    12:25:C:y
78:    13:38:a:x
79:    13:47:b:y
80:    13:58:c:x
81:    13:29:A:y
82:    13:48:B:y
83:    13:62:C:y
84:    14:91:a:y
85:    14:22:b:y
86:    14:99:c:x
87:    14:53:A:y
88:    14:81:B:y
89:    14:29:C:y
90:    15:48:a:y
91:    15:14:b:y
92:    15:55:c:y
93:    15:94:A:y
94:    15:41:B:y
95:    15:89:C:y
96:    16:36:a:x
97:    16:59:b:x
98:    16:7:c:x
99:    16:74:A:x
100:   16:83:B:x
101:   16:28:C:x
102:   17:79:a:y
103:   17:72:b:y
104:   17:56:c:y
105:   17:95:A:x
106:   17:59:B:y
107:   17:68:C:y
108:   18:54:a:y
109:   18:4:b:y
110:   18:66:c:x
111:   18:54:A:y
112:   18:45:B:y
113:   18:74:C:y
114:   19:43:a:y
115:   19:8:b:x
116:   19:28:c:x
117:   19:85:A:x
118:   19:43:B:x
119:   19:36:C:x
120:   20:17:a:x
121:   20:11:b:x
122:   20:25:c:x
123:   20:14:A:x
124:   20:27:B:x
125:   20:66:C:y
126:   21:29:a:y
127:   21:94:b:y
128:   21:54:c:x
129:   21:20:A:x
130:   21:3:B:x
131:   21:60:C:y
132:   22:7:a:x
133:   22:88:b:y
134:   22:22:c:x
135:   22:26:A:y
136:   22:55:B:x
137:   22:89:C:y
138:   23:38:a:y
139:   23:9:b:x
140:   23:64:c:y
141:   23:52:A:y
142:   23:76:B:y
143:   23:35:C:x
144:   24:20:a:x
145:   24:73:b:x
146:   24:27:c:y
147:   24:81:A:y
148:   24:93:B:x
149:   24:25:C:x
150:   25:52:a:x
151:   25:88:b:x
152:   25:81:c:y
153:   25:47:A:y
154:   25:8:B:x
155:   25:52:C:x
156:   26:98:a:y
157:   26:96:b:x
158:   26:13:c:y
159:   26:5:A:x
160:   26:79:B:y
161:   26:61:C:x
162:   27:33:a:x
163:   27:60:b:y
164:   27:46:c:x
165:   27:92:A:x
166:   27:5:B:x
167:   27:98:C:y
168:   28:84:a:x
169:   28:27:b:x
170:   28:50:c:x
171:   28:7:A:x
172:   28:49:B:y
173:   28:11:C:y
174:   29:37:a:y
175:   29:4:b:y
176:   29:57:c:x
177:   29:88:A:y
178:   29:34:B:y
179:   29:33:C:y
180:   30:6:a:x
181:   30:29:b:x
182:   30:67:c:y
183:   30:8:A:x
184:   30:40:B:y
185:   30:5:C:y
186:   31:95:a:y
187:   31:85:b:x
188:   31:68:c:y
189:   31:23:A:x
190:   31:11:B:y
191:   31:94:C:x
192:   32:26:a:y
193:   32:98:b:y
194:   32:32:c:y
195:   32:33:A:x
196:   32:23:B:x
197:   32:13:C:y
198:   33:61:a:x
199:   33:4:b:x
200:   33:87:c:y
201:   33:90:A:y
202:   33:36:B:x
203:   33:22:C:y
204:   34:99:a:x
205:   34:79:b:x
206:   34:6:c:y
207:   34:23:A:y
208:   34:63:B:x
209:   34:99:C:y
210:   35:89:a:x
211:   35:9:b:x
212:   35:29:c:y
213:   35:2:A:y
214:   35:62:B:y
215:   35:78:C:y
216:   36:21:a:y
217:   36:32:b:y
218:   36:0:c:y
219:   36:24:A:x
220:   36:56:B:y
221:   36:55:C:y
222:   37:71:a:x
223:   37:66:b:x
224:   37:7:c:x
225:   37:82:A:y
226:   37:81:B:x
227:   37:4:C:x
228:   38:96:a:y
229:   38:62:b:y
230:   38:53:c:y
231:   38:13:A:y
232:   38:84:B:x
233:   38:79:C:x
234:   39:52:a:y
235:   39:31:b:x
236:   39:27:c:y
237:   39:24:A:y
238:   39:27:B:x
239:   39:36:C:y
240:   40:33:a:x
241:   40:51:b:x
242:   40:64:c:y
243:   40:32:A:y
244:   40:45:B:x
245:   40:23:C:y
246:   41:6:a:x
247:   41:66:b:x
248:   41:10:c:y
249:   41:98:A:y
250:   41:74:B:y
251:   41:16:C:x
252:   42:87:a:x
253:   42:16:b:y
254:   42:32:c:y
255:   42:7:A:y
256:   42:46:B:y
257:   42:78:C:x
258:   43:34:a:x
259:   43:39:b:x
260:   43:89:c:x
261:   43:94:A:x
262:   43:36:B:y
263:   43:44:C:x
264:   44:72:a:y
265:   44:52:b:y
266:   44:16:c:y
267:   44:94:A:x
268:   44:21:B:x
269:   44:28:C:y
270:   45:30:a:x
271:   45:47:b:x
272:   45:94:c:y
273:   45:88:A:x
274:   45:54:B:x
275:   45:4:C:x
276:   46:95:a:y
277:   46:6:b:x
278:   46:72:c:x
279:   46:14:A:y
280:   46:13:B:y
281:   46:0:C:y
282:   47:60:a:x
283:   47:8:b:x
284:   47:83:c:x
285:   47:70:A:x
286:   47:44:B:x
287:   47:22:C:x
288:   48:76:a:y
289:   48:13:b:y
290:   48:21:c:x
291:   48:88:A:y
292:   48:47:B:y
293:   48:9:C:y
294:   49:28:a:x
295:   49:31:b:x
296:   49:83:c:x
297:   49:46:A:y
298:   49:28:B:y
299:   49:6:C:y
300:   50:44:a:x
301:   50:41:b:y
302:   50:58:c:y
303:   50:91:A:y
304:   50:11:B:y
305:   50:18:C:y
306:   51:4:a:y
307:   51:63:b:y
308:   51:42:c:x
309:   51:33:A:x
310:   51:41:B:y
311:   51:92:C:y
312:   52:43:a:x
313:   52:62:b:y
314:   52:15:c:y
315:   52:38:A:y
316:   52:86:B:y
317:   52:35:C:x
318:   53:13:a:y
319:   53:66:b:x
320:   53:26:c:y
321:   53:95:A:x
322:   53:51:B:x
323:   53:92:C:x
324:   54:89:a:x
325:   54:69:b:y
326:   54:81:c:y
327:   54:90:A:x
328:   54:95:B:x
329:   54:11:C:x
330:   55:18:a:y
331:   55:46:b:x
332:   55:59:c:y
333:   55:18:A:y
334:   55:50:B:x
335:   55:16:C:y
336:   56:3:a:y
337:   56:71:b:x
338:   56:38:c:y
339:   56:57:A:y
340:   56:3:B:x
341:   56:39:C:y
342:   57:49:a:x
343:   57:73:b:y
344:   57:19:c:y
345:   57:19:A:x
346:   57:87:B:x
347:   57:10:C:y
348:   58:38:a:y
349:   58:92:b:x
350:   58:50:c:y
351:   58:64:A:y
352:   58:16:B:x
353:   58:85:C:x
354:   59:69:a:x
355:   59:76:b:x
356:   59:68:c:y
357:   59:86:A:y
358:   59:44:B:y
359:   59:86:C:x
360:   60:57:a:y
361:   60:62:b:x
362:   60:56:c:x
363:   60:14:A:x
364:   60:99:B:x
365:   60:40:C:y
366:   61:0:a:x
367:   61:39:b:y
368:   61:93:c:x
369:   61:51:A:x
370:   61:53:B:x
371:   61:20:C:y
372:   62:41:a:x
373:   62:9:b:y
374:   62:59:c:y
375:   62:84:A:y
376:   62:65:B:x
377:   62:35:C:x
378:   63:0:a:y
379:   63:10:b:y
380:   63:11:c:y
381:   63:8:A:y
382:   63:37:B:y
383:   63:12:C:x
384:   64:7:a:y
385:   64:76:b:x
386:   64:56:c:y
387:   64:23:A:x
388:   64:3:B:x
389:   64:44:C:x
390:   65:62:a:x
391:   65:34:b:x
392:   65:56:c:x
393:   65:51:A:y
394:   65:49:B:x
395:   65:86:C:y
396:   66:42:a:y
397:   66:32:b:x
398:   66:83:c:y
399:   66:1:A:x
400:   66:90:B:x
401:   66:56:C:y
402:   67:76:a:y
403:   67:54:b:y
404:   67:48:c:y
405:   67:72:A:y
406:   67:71:B:x
407:   67:65:C:y
408:   68:21:a:x
409:   68:71:b:y
410:   68:60:c:y
411:   68:58:A:y
412:   68:37:B:x
413:   68:20:C:y
414:   69:17:a:y
415:   69:17:b:x
416:   69:69:c:y
417:   69:69:A:x
418:   69:95:B:y
419:   69:75:C:x
420:   70:50:a:x
421:   70:64:b:y
422:   70:73:c:x
423:   70:59:A:x
424:   70:10:B:x
425:   70:1:C:x
426:   71:35:a:x
427:   71:47:b:x
428:   71:5:c:x
429:   71:74:A:y
430:   71:50:B:y
431:   71:35:C:x
432:   72:91:a:x
433:   72:2:b:x
434:   72:20:c:y
435:   72:60:A:x
436:   72:21:B:y
437:   72:1:C:x
438:   73:43:a:y
439:   73:53:b:x
440:   73:73:c:x
441:   73:24:A:y
442:   73:12:B:x
443:   73:80:C:y
444:   74:64:a:x
445:   74:71:b:x
446:   74:45:c:y
447:   74:77:A:y
448:   74:49:B:y
449:   74:31:C:x
450:   75:9:a:y
451:   75:58:b:y
452:   75:18:c:x
453:   75:86:A:y
454:   75:63:B:y
455:   75:79:C:x
456:   76:17:a:y
457:   76:49:b:x
458:   76:42:c:y
459:   76:71:A:x
460:   76:76:B:x
461:   76:15:C:y
462:   77:99:a:x
463:   77:40:b:x
464:   77:19:c:x
465:   77:21:A:y
466:   77:60:B:x
467:   77:72:C:x
468:   78:72:a:y
469:   78:42:b:x
470:   78:74:c:y
471:   78:24:A:x
472:   78:69:B:y
473:   78:85:C:y
474:   79:48:a:y
475:   79:3:b:x
476:   79:18:c:y
477:   79:0:A:x
478:   79:67:B:x
479:   79:97:C:y
480:   80:97:a:x
481:   80:69:b:x
482:   80:58:c:y
483:   80:10:A:x
484:   80:35:B:y
485:   80:15:C:y
486:   81:48:a:y
487:   81:83:b:y
488:   81:77:c:x
489:   81:37:A:y
490:   81:96:B:y
491:   81:65:C:y
492:   82:57:a:y
493:   82:64:b:x
494:   82:15:c:x
495:   82:31:A:x
496:   82:73:B:y
497:   82:96:C:x
498:   83:48:a:y
499:   83:3:b:y
500:   83:43:c:x
501:   83:92:A:x
502:   83:63:B:x
503:   83:85:C:x
504:   84:70:a:y
505:   84:93:b:x
506:   84:1:c:y
507:   84:74:A:x
508:   84:42:B:x
509:   84:57:C:x
510:   85:85:a:x
511:   85:67:b:y
512:   85:43:c:y
513:   85:68:A:x
514:   85:63:B:y
515:   85:50:C:x
516:   86:68:a:x
517:   86:80:b:x
518:   86:73:c:y
519:   86:93:A:y
520:   86:61:B:x
521:   86:81:C:y
522:   87:70:a:x
523:   87:93:b:y
524:   87:53:c:y
525:   87:84:A:x
526:   87:77:B:x
527:   87:87:C:y
528:   88:24:a:y
529:   88:87:b:x
530:   88:12:c:y
531:   88:41:A:x
532:   88:75:B:x
533:   88:87:C:y
534:   89:80:a:x
535:   89:61:b:y
536:   89:57:c:y
537:   89:12:A:x
538:   89:97:B:y
539:   89:80:C:x
540:   90:37:a:x
541:   90:34:b:y
542:   90:61:c:y
543:   90:12:A:x
544:   90:31:B:x
545:   90:40:C:y
546:   91:19:a:y
547:   91:37:b:x
548:   91:30:c:x
549:   91:17:A:x
550:   91:30:B:y
551:   91:30:C:y
552:   92:70:a:x
553:   92:82:b:x
554:   92:86:c:y
555:   92:91:A:y
556:   92:97:B:x
557:   92:91:C:y
558:   93:1:a:x
559:   93:77:b:y
560:   93:82:c:x
561:   93:63:A:y
562:   93:44:B:x
563:   93:66:C:x
564:   94:96:a:y
565:   94:41:b:y
566:   94:55:c:x
567:   94:53:A:x
568:   94:2:B:y
569:   94:82:C:x
570:   95:77:a:y
571:   95:82:b:y
572:   95:45:c:y
573:   95:2:A:y
574:   95:65:B:y
575:   95:75:C:y
576:   96:2:a:y
577:   96:19:b:y
578:   96:84:c:y
579:   96:90:A:x
580:   96:24:B:y
581:   96:26:C:y
582:   97:75:a:x
583:   97:97:b:x
584:   97:17:c:x
585:   97:2:A:x
586:   97:97:B:y
587:   97:90:C:x
588:   98:67:a:x
589:   98:45:b:y
